Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
Class=1st,Age=Adult,Sex=Male,Survived=Yes
